id,name,symbol,slug,is_active,rank,status,platform,token_address
1,Bitcoin,BTC,bitcoin,1,1,active,,
2,Litecoin,LTC,litecoin,1,8,active,,
3,Namecoin,NMC,namecoin,1,609,active,,
4,Terracoin,TRC,terracoin,1,1050,active,,
5,Peercoin,PPC,peercoin,1,558,active,,
6,Novacoin,NVC,novacoin,1,1044,active,,
7,Devcoin,DVC,devcoin,0,null,inactive,,
8,Feathercoin,FTC,feathercoin,1,812,active,,
9,Mincoin,MNC,mincoin,0,null,untracked,,
10,Freicoin,FRC,freicoin,1,1442,active,,
11,CHNCoin,CNC,chncoin,0,null,inactive,,
12,BBQCoin,BQC,bbqcoin,0,null,inactive,,
13,Ixcoin,IXC,ixcoin,1,925,active,,
14,BitBar,BTB,bitbar,1,1577,active,,
15,Bytecoin,BTE,bytecoin-bte,0,null,inactive,,
16,WorldCoin,WDC,worldcoin,0,null,untracked,,
17,Yacoin,YAC,yacoin,0,null,inactive,,
18,Digitalcoin,DGC,digitalcoin,1,1712,active,,
19,Franko,FRK,franko,0,null,inactive,,
20,Elacoin,ELC,elacoin,0,null,inactive,,
21,Memecoin,MEM,memecoin,0,null,inactive,,
22,Luckycoin,LKY,luckycoin,0,null,inactive,,
23,Nibble [old],NBL,nibble-old,0,null,inactive,,
24,AmericanCoin,AMC,americancoin,0,null,inactive,,
25,Goldcoin,GLC,goldcoin,1,1440,active,,
26,Junkcoin,JKC,junkcoin,0,null,inactive,,
27,Hypercoin,HYC,hypercoin,0,null,inactive,,
28,Doubloons,DBL,doubloons,0,null,inactive,,
29,Bottlecaps,CAP,bottlecaps,0,null,inactive,,
30,Noirbits,NRB,noirbits,0,null,inactive,,
31,Argentum,ARG,argentum,0,null,untracked,,
32,Fastcoin,FST,fastcoin,0,null,inactive,,
33,EZCoin,EZC,ezcoin,0,null,inactive,,
34,Bitgem,BTG,bitgem,0,null,inactive,,
35,Phoenixcoin,PXC,phoenixcoin,1,1155,active,,
36,AlphaCoin,ALF,alphacoin,0,null,inactive,,
37,Megacoin,MEC,megacoin,1,1534,active,,
38,Krugercoin,KGC,krugercoin,0,null,inactive,,
39,CraftCoin,CRC,craftcoin,0,null,inactive,,
40,StableCoin,SBC,stablecoin,0,null,inactive,,
41,Infinitecoin,IFC,infinitecoin,1,1187,active,,
42,Primecoin,XPM,primecoin,1,989,active,,
43,Anoncoin,ANC,anoncoin,1,1753,active,,
44,NanoToken,NAN,nanotoken,0,null,inactive,,
45,CasinoCoin,CSC,casinocoin,1,304,active,,
46,XenCoin,XNC,xencoin,0,null,inactive,,
47,Spots,SPT,spots,0,null,inactive,,
48,Lebowskis,LBW,lebowskis,0,null,inactive,,
49,Bullion,CBX,bullion,0,null,inactive,,
50,Emerald Crypto,EMD,emerald,1,1435,active,,
51,GlobalCoin,GLC,globalcoin,0,null,inactive,,
52,XRP,XRP,xrp,1,3,active,,
53,Quark,QRK,quark,1,538,active,,
54,GameCoin,GME,gamecoin,0,null,inactive,,
55,GIL,GIL,gil,0,null,inactive,,
56,Zetacoin,ZET,zetacoin,1,1664,active,,
57,SecureCoin,SRC,securecoin,0,null,untracked,,
58,Sexcoin,SXC,sexcoin,1,2832,active,,
59,Tickets,TIX,tickets,0,null,inactive,,
60,Copperlark,CLR,copperlark,0,null,inactive,,
61,TagCoin,TAG,tagcoin,1,1715,active,,
62,BitShares PTS,PTS,bitshares-pts,0,null,inactive,,
63,I0Coin,I0C,i0coin,0,null,inactive,,
64,FLO,FLO,flo,1,662,active,,
65,Colossuscoin,COL,colossuscoin,0,null,inactive,,
66,Nxt,NXT,nxt,1,436,active,,
67,Unobtanium,UNO,unobtanium,1,406,active,,
68,Joulecoin,XJO,joulecoin,0,null,inactive,,
69,Datacoin,DTC,datacoin,1,2007,active,,
70,BetaCoin,BET,betacoin,0,null,untracked,,
71,GrandCoin,GDC,grandcoin,0,null,inactive,,
72,Deutsche eMark,DEM,deutsche-emark,1,1746,active,,
73,ElephantCoin,ELP,elephantcoin,0,null,inactive,,
74,Dogecoin,DOGE,dogecoin,1,36,active,,
